Time,x,y,z,Speedbreaker,Pothole
78.052,2.03,3.53,8.08,0,0
78.121,1.92,3.21,10.42,0,0
78.183,2.03,2.98,11.41,0,0
78.262,2.91,1.54,10.08,0,0
78.331,0.8,1.54,9.34,0,0
78.398,-0.89,3.68,7.89,0,0
78.46,-2.07,4.06,6.24,0,0
78.523,-1.14,4.67,3.68,1,0
78.583,-1.46,4.21,4.99,1,0
78.647,0.99,4.6,7.55,1,0
78.716,2.75,3.41,7.63,1,0
78.781,4.44,3.83,8.85,1,0
78.851,4.33,2.56,9.81,1,0
78.921,1.69,3.3,9.23,1,0
78.987,1.12,3.99,8.69,1,0
79.053,0.72,4.4,7.31,0,0
79.121,0.34,4.86,7.12,0,0
79.191,0.08,4.25,8.01,0,0
79.261,1.88,4.9,7.5,0,0
79.332,2.79,3.68,7.55,0,0
79.401,1.95,2.91,6.97,0,0
79.471,1.12,2.6,11.26,0,0
79.541,3.11,2.37,10.46,0,0
79.611,4.56,3.02,8.16,0,0
79.675,0.8,3.26,8.24,0,0
79.742,-2.53,3.45,9.47,0,0
79.811,-3.68,4.06,7.55,0,0
79.874,-3.11,4.99,6.97,0,0
79.946,-2.15,2.49,8.66,0,0
80.011,0.23,2.45,8.69,0,0
80.072,0.69,2.03,8.54,0,0
80.131,1.31,2.03,8.35,0,0
80.191,1.46,2.96,7.89,0,0
80.256,1.99,1.42,9.81,0,0
80.321,2.11,1.38,9.34,0,0
80.391,-1.57,2.64,9.23,0,0
80.475,-2.07,1.54,8.43,0,0
