time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
1014.756 , -0.8 , 0.11 , 9.34,0,0
1014.822 , -0.84 , -0.04 , 9.85,0,0
1014.8910000000001 , -0.61 , -0.3 , 9.53,0,0
1014.96 , -0.38 , 0.27 , 9.3,0,0
1015.0310000000001 , -0.19 , 0.93 , 9.08,0,0
1015.099 , -0.23 , 1.27 , 8.81,0,0
1015.173 , 0.34 , 1.08 , 9.15,0,0
1015.237 , 0.38 , 0.8 , 9.49,0,0
1015.302 , 0.11 , 0.76 , 9.72,0,0
1015.366 , -0.34 , 0.76 , 9.72,0,0
1015.428 , -0.15 , 1.1400000000000001 , 8.81,0,0
1015.489 , -0.42 , 1.12 , 8.540000000000001,0,0
1015.551 , -0.34 , 1.12 , 8.85,0,0
1015.6220000000001 , 0.23 , 0.61 , 9.23,0,0
1015.71 , 0.8 , -0.3 , 9.08,0,0
1015.778 , 0.04 , -0.46 , 10.0,0,0
1015.839 , -0.34 , 0.11 , 10.42,0,0
1015.9010000000001 , -1.04 , 0.42 , 10.040000000000001,0,0
1015.969 , -0.46 , -0.19 , 10.08,0,0
1016.032 , -0.38 , -0.6900000000000001 , 10.27,0,0
1016.101 , -1.33 , -0.3 , 10.08,0,0
1016.169 , -1.12 , 0.27 , 10.950000000000001,0,0
1016.2330000000001 , -0.5 , 1.18 , 8.88,0,0
