time,x-axis,y-axis,z-axis,Event1,Event2
910.681 , 5.17 , 0.46 , 8.35,0,0
910.744 , 4.86 , 0.5700000000000001 , 8.42,0,0
910.807 , 4.86 , 0.8 , 8.31,0,0
910.87 , 5.13 , 0.73 , 9.07,0,0
910.934 , 5.13 , 0.65 , 9.15,0,0
910.9970000000001 , 5.13 , 0.73 , 9.46,0,0
911.0600000000001 , 5.82 , 0.88 , 10.14,0,0
911.124 , 5.67 , 1.3 , 5.7,0,0
911.187 , 3.94 , 1.23 , 2.7600000000000002,0,0
911.251 , 4.98 , 1.26 , 5.21,0,0
911.314 , 4.29 , 2.0300000000000002 , 6.3500000000000005,0,0
911.378 , 3.98 , 1.84 , 8.42,0,0
911.441 , 5.44 , 0.38 , 10.34,0,0
911.505 , 6.32 , 0.73 , 11.370000000000001,0,0
911.568 , 6.24 , 1.1500000000000001 , 13.02,0,0
911.631 , 5.78 , -0.54 , 8.42,0,0
911.695 , 5.09 , -1.0 , 5.63,0,0
911.759 , 6.01 , 0.23 , 6.66,0,0
911.822 , 5.05 , 2.41 , 6.13,0,0
911.885 , 4.44 , 3.64 , 6.13,0,0
911.9490000000001 , 5.44 , 3.68 , 7.24,0,0
912.0120000000001 , 5.97 , 3.29 , 8.38,0,0
912.075 , 5.63 , 2.5300000000000002 , 8.42,0,0
912.139 , 6.32 , 1.99 , 8.38,0,0
912.202 , 6.2 , 2.68 , 8.08,0,0
912.266 , 6.28 , 2.14 , 7.390000000000001,0,0
912.3290000000001 , 5.86 , 1.95 , 8.040000000000001,0,0
912.393 , 6.09 , 2.64 , 7.62,0,0
912.456 , 5.59 , 3.02 , 7.16,0,0
912.519 , 5.74 , 2.68 , 7.08,0,0
912.583 , 5.47 , 2.6 , 7.46,0,0
912.6460000000001 , 5.55 , 2.64 , 7.54,0,0
912.71 , 5.86 , 1.76 , 8.15,0,0
912.773 , 5.78 , 1.8800000000000001 , 7.2,0,0
912.837 , 6.32 , 1.8800000000000001 , 8.69,0,0
912.9 , 5.51 , 1.8800000000000001 , 8.31,0,0
912.963 , 5.28 , 1.6500000000000001 , 7.8100000000000005,0,0
913.027 , 4.79 , 2.22 , 8.31,0,0
913.091 , 4.1 , 2.6 , 7.92,0,0
913.154 , 4.33 , 1.99 , 8.77,0,0
913.2180000000001 , 3.79 , 1.49 , 8.35,0,0
913.2810000000001 , 4.25 , 1.76 , 8.73,0,0
913.345 , 3.98 , 1.8 , 9.0,0,0
913.408 , 3.98 , 1.6500000000000001 , 8.19,0,0
913.471 , 4.21 , 1.8800000000000001 , 8.77,0,0
913.534 , 3.79 , 2.49 , 8.92,0,0
913.597 , 4.0200000000000005 , 2.68 , 8.27,0,0
913.6610000000001 , 3.56 , 2.37 , 8.61,0,0
913.724 , 3.83 , 2.3000000000000003 , 9.03,0,0
913.788 , 3.48 , 2.5300000000000002 , 7.24,0,0
913.851 , 4.29 , 1.6500000000000001 , 9.88,0,0
913.918 , 3.98 , 3.25 , 9.03,0,0
913.984 , 3.87 , 2.99 , 8.040000000000001,0,0
914.049 , 3.68 , 2.22 , 7.43,0,0
